Week Ending Date,Metric,Category,Waiting Bands,Count
2021-10-03T00:00:00.000Z,Sex,Male,18 To 52 Weeks,689245
2021-10-03T00:00:00.000Z,Sex,Male,Over 52 Weeks,133830
2021-10-03T00:00:00.000Z,Sex,Male,Total,2300100
2021-10-10T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,700
2021-10-10T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,389575
2021-10-10T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,166340
2021-10-10T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,25685
2021-10-10T00:00:00.000Z,Age,0-18 Years,Total,582300
2021-10-10T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,6020
2021-10-10T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1844810
2021-10-10T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,921510
2021-10-10T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,169235
2021-10-10T00:00:00.000Z,Age,19-64 Years,Total,2941575
2021-10-10T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,3310
2021-10-10T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1178895
2021-10-10T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,490750
2021-10-10T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,91915
2021-10-10T00:00:00.000Z,Age,Over 65 Years,Total,1764870
2021-10-10T00:00:00.000Z,Sex,Female,Unknown Clock Start,5845
2021-10-10T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1887645
2021-10-10T00:00:00.000Z,Sex,Female,18 To 52 Weeks,864030
2021-10-10T00:00:00.000Z,Sex,Female,Over 52 Weeks,150325
2021-10-10T00:00:00.000Z,Sex,Female,Total,2907845
2021-10-10T00:00:00.000Z,Sex,Male,Unknown Clock Start,4150
2021-10-10T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1447395
2021-10-10T00:00:00.000Z,Sex,Male,18 To 52 Weeks,659790
2021-10-10T00:00:00.000Z,Sex,Male,Over 52 Weeks,128220
2021-10-10T00:00:00.000Z,Sex,Male,Total,2239560
2021-10-17T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,860
2021-10-17T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,398695
2021-10-17T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,172540
2021-10-17T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,27525
2021-10-17T00:00:00.000Z,Age,0-18 Years,Total,599625
2021-10-17T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,9165
2021-10-17T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1887685
2021-10-17T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,951455
2021-10-17T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,177440
2021-10-17T00:00:00.000Z,Age,19-64 Years,Total,3025745
2021-10-17T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,5190
2021-10-17T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1207850
2021-10-17T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,506520
2021-10-17T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,96375
2021-10-17T00:00:00.000Z,Age,Over 65 Years,Total,1815935
2021-10-17T00:00:00.000Z,Sex,Female,Unknown Clock Start,8585
2021-10-17T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1939425
2021-10-17T00:00:00.000Z,Sex,Female,18 To 52 Weeks,902540
2021-10-17T00:00:00.000Z,Sex,Female,Over 52 Weeks,159545
2021-10-17T00:00:00.000Z,Sex,Female,Total,3010090
2021-10-17T00:00:00.000Z,Sex,Male,Unknown Clock Start,6510
2021-10-17T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1485050
2021-10-17T00:00:00.000Z,Sex,Male,18 To 52 Weeks,688500
2021-10-17T00:00:00.000Z,Sex,Male,Over 52 Weeks,134850
2021-10-17T00:00:00.000Z,Sex,Male,Total,2314910
2021-10-24T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,645
2021-10-24T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,380050
2021-10-24T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,165520
2021-10-24T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,25750
2021-10-24T00:00:00.000Z,Age,0-18 Years,Total,571965
2021-10-24T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,6065
2021-10-24T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1792715
2021-10-24T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,906435
2021-10-24T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,167475
2021-10-24T00:00:00.000Z,Age,19-64 Years,Total,2872685
2021-10-24T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,3410
2021-10-24T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1148565
2021-10-24T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,484650
2021-10-24T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,91900
2021-10-24T00:00:00.000Z,Age,Over 65 Years,Total,1728530
2021-10-24T00:00:00.000Z,Sex,Female,Unknown Clock Start,5835
2021-10-24T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1873585
2021-10-24T00:00:00.000Z,Sex,Female,18 To 52 Weeks,880620
2021-10-24T00:00:00.000Z,Sex,Female,Over 52 Weeks,154400
2021-10-24T00:00:00.000Z,Sex,Female,Total,2914445
2021-10-24T00:00:00.000Z,Sex,Male,Unknown Clock Start,4280
2021-10-24T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1436820
2021-10-24T00:00:00.000Z,Sex,Male,18 To 52 Weeks,672770
2021-10-24T00:00:00.000Z,Sex,Male,Over 52 Weeks,130635
2021-10-24T00:00:00.000Z,Sex,Male,Total,2244500
2021-10-31T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,700
2021-10-31T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,398575
2021-10-31T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,177405
2021-10-31T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26295
2021-10-31T00:00:00.000Z,Age,0-18 Years,Total,602970
2021-10-31T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,5665
2021-10-31T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1880100
2021-10-31T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,962660
2021-10-31T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,175440
2021-10-31T00:00:00.000Z,Age,19-64 Years,Total,3023865
2021-10-31T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,3470
2021-10-31T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1199150
2021-10-31T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,518140
2021-10-31T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,95385
2021-10-31T00:00:00.000Z,Age,Over 65 Years,Total,1816140
2021-10-31T00:00:00.000Z,Sex,Female,Unknown Clock Start,5425
2021-10-31T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1924270
2021-10-31T00:00:00.000Z,Sex,Female,18 To 52 Weeks,907015
2021-10-31T00:00:00.000Z,Sex,Female,Over 52 Weeks,156530
2021-10-31T00:00:00.000Z,Sex,Female,Total,2993240
2021-10-31T00:00:00.000Z,Sex,Male,Unknown Clock Start,4415
2021-10-31T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1475980
2021-10-31T00:00:00.000Z,Sex,Male,18 To 52 Weeks,693565
2021-10-31T00:00:00.000Z,Sex,Male,Over 52 Weeks,132105
2021-10-31T00:00:00.000Z,Sex,Male,Total,2306065
2021-11-07T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,990
2021-11-07T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,395615
